id,elo_overall,match_number
enrico burzi-it-81,1542,0
cristhian ignacio benedetti-ar-87,1542,0
justin oneal-un-77,1542,0
jan michael gambill-un-77,1542,0
sheeva parbhu-un-86,1542,0
oh hee kwon-so-78,1541,0
n vijay sundar prashanth-in-86,1541,0
denis zivkovic-un-87,1541,0
cory parr-un-87,1540,0
artemon apostu efremov-ro-79,1540,0
yasutaka uchiyama-ja-92,1540,0
david rice-gr-89,1540,0
jeevan nedunchezhiyan-in-88,1540,0
christian magg-au-81,1539,0
oscar sabate bretos-sp-86,1539,0
martin hromec-sl-76,1539,0
